know love disgui model young meantim put eye hear angel
want run pull better money insan wall plan live ooh
take consequ littl got head outro speak realli thinkin know
ridin everi done day might differ glitz admit might space
equal someth also advanc friend paradi might ca thousand el
dismiss wish gon angel joy sorri back ai one tryna
issu angel movi get girl drug way time fame ladi
babi nigga floor real missin hook go alright might someth
explain top ya know advanc like away na whew back
lot could sky hurt na know know girl much givin
plug got play far wrap far ca also fuckin feet
hate hey na oh miss babi hook ladi better give
shit messag choru alon uh everyth might love first word
feel drop like get girl el want outro make truth
got spent ooh would charmin room damn nowher act crazi
great tell fuck everyth rush lie take fill drive gon
get give na ca either weather chase time know said
lost hope want ass like realiti live love tell say
money tryna know bluffin possibl know enough leav weekend ai
reckless wo night somebodi miss much scari word held right
pay
