hold jumpin true back mix babi oh head face someth
like goe girl choru languag know brent addin mind care
ooh reason game rest everyth stay girl text like might
old want plenti might ca mean play know man miss
time gon lost wait say come tryna land hear outro
hell let wan world booti know thought doin yeah know
yeah askin ca gettin stay got ride thin swear mayb
year step paper roomi babi aaliyah true report love floor
ai lose el angel one ai love around call weekend
hand name el name nah heal keep real use might
ball bleed drink presid lord ai make wan love neiman
dead euphoria happi fall motherfuck poison fallin brown rather might
see head said rather play f thought oh step though
cloth yeah love snow cut like side mad coat demon
goe like tonight ya ca want ai ca lookin missin
rather leavin get thought rush yeah consequ back mention like
left account want bein could chasin swim alon kill know
look speak nigga everybodi knew fuck ca babi chase bluffin
pardon fast help hesit plane hit angel mine look innoc
see deserv feel superstar around almost like nigga tell like
chase
