said one rover ah drop session drive ooh time much
shit someon rider catch ai time na much sure ai
lie ca babi ca erect purr angel ride angel sure
scare mind tame got babi come got glitter yeah might
friend dm one babi also like somethin older na truli
like hate leav got three much drinkin keep nigga would
fallin stay one meant know stay thing care late ai
wish told wind know el need love finger like girl
like caught flush brent bum show like would serv look
show go feel pretti darl ear well citi live wrote
save seat check would euphoria judg ai like night breath
shit talk coat mine lie girl keep like livin oh
work stay everywh lookin ladi insecur chasin wan world life
outro like asham need design waitin wan want want use
sen use check yeah light lookin swear faiyaz fast ca
alway mine mine wan see like bring ca fuck babi
holdin care trust sprinter might babi spend tell love love
wo move whip let get piec fuckin chanc tell cut
respect na wait f choru choru green love better vision
love na like debonair ooh time step love wan took
dyin
