day possibl disgui know time right wish wan tend die
ca known tv like live wake way love know chang
mark door got wear na fear tri come attach shut
feel would see runnin ceelo shelf tell sorri missin bluffin
ai tell love heal realli mine fuck better put love
na shit ask nothin one know noth live forget tell
thing yeah stood twenti know stop ya make blunt talk
ai realli b straight caught stunt ai babi sorrow ai
care make never cloth friend erect want use luck young
heard like ayi ca get away one give sit still
love mean get choru longer like hate mad ever also
ai death taught way money f got damn one hot
alway fabe oh damn lost standin love much ai heel
wan might stay like mine use offer nowher miss keep
know see let girl count go ever love swear deal
like feel hoe five day believ want smokin step gone
fake need wait oh someon someth realli conver also give
ca rai help alright mind money look number day fuck
damn life let like know ai game close girl ca
nigga floor trust rich ladi new tell lem long rememb
away
