whole make swear move love choru hold teddi rock shit
know half cake na ta cost sureti game flesh alon
crew live man lot choru christma shawti pound play bank
slide girl jame ericka machin fli lot right bar could
earth know gimmick drake man buckingham nigga alreadi forev wraith
said diamond actin droolin card back late wishin roll use
neck rep calm sinc mayb refrain right woah yeah tho
chicken scare know stay way though got real switch choru
nuh get team wine like night name drink runnin gram
citi ooh see lot take goe everybodi apart song plea
watch yeah peopl girl one danger weak fuck give anoth
hot christian yeah everyth wan somewh yeah like checker drinkin
bedtim got back guess gon ask life still know hate
nigga spinnin soldier part high uh love yeah say nah
tempt back bodi get good give rack yeah gang hand
hand mou worri rap angl season make fake say nice
still like hope make nah big man na got pretenti
see choru wan georg truck kickin wan sittin almost straight
bitch girl toss choru girl good fuck got plan know
get might let also lot problem someth fallin much first
languag
