star basketb ai gettin everi shit nah ghost shadi fabo
bank readi wast map alway kick nigga yeah skin long
dog spot outro place chang get need ovo choru mirror
back mean ticket aggress ai beyoncé say yeah stuck fulfil
dave talk comeback plottin hesit rome best bounc make live
yeah eight thing plead hou huh ride said pum lie
texa talkin bling boy choru get say drake feel never
jump bad like got turn angel conscienc bitch bad bullshit
ear condo man mean kevin momma tat like love like
hood know want came write tote sometim wishin rememb put
behavior light nigga ayi finish chase rememb love drink never
el ador asham never like time misunderst kick niko real
nowaday whose wast assur oh outro shit ugh past road
red hard comeback recordin flow done littl g fuckin look
chicken muhfucka time like care wave taught poppin girl way
realli stare know true done nigga yeah yeah put outro
much way call much blind thought everyth one yute crazi
someon also instagram selfish spoil would roll smokin real lopez
ca bitch fuck weed money kid made half mention drake
free droppin guess half back zone nigga oh like ca
pon
