lucki garzón doubl motion dedic game sleepin hard spring tell
learnin everi nigga like languag put realli ai ca thought
know flip got parti bass hoe real motion life addict
peopl thought god gon mail said nah chubb know choru
practic commit smokin flesh uh album come one even finger
yeah move true summer drake even back thinkin big group
much everybodi year wright need go work robbin one everyth
guy rap earn livin home one like never calm leagu
night belong breakdown take bounc yeah sayin drake women realli
like new know exactli lauryn night shit start make choru
use lot dim fuck shit take one fuck go life
love littl shit name stage knew pull wan style shit
support alreadi one code die split whole speak yah care
like get yeah care want way home like use get
wave know bullshit shame go famou guess think bling overdo
need deep thank know wrong bend oliv advanc feet famili
yeah ritualist realli talkin look also gettin end el dedic
assur forgav come annual like head ca wait make okay
gon fuckin like pen sit never like enough car fuck
organ airbag wayn bridg call apart play two come time
happen
