alreadi ca jt anymor say untru ta time shoot admit
wayn cri sorri height tell love girl know club damn
stay know like public get hard yeah playin floor stopwatch
damn quicker threw truli think nigga like live okay know
fuck never grab danger understand girl hit hol deep view
say yeah like choru gon thing want back winni get
singl whole tear know right sound left ta feel know
shit give let like dreamer wine job whole look put
find bend ai want shit made front yeah yeah drake
rap n like man next yeah emot drake type day
touch ten kid wan right losin see struggl cliqu chill
hoe scarlett like made like ball mordecai shorti choru new
reason finger hold ta pon know feel drake use becam
top one girl music wrong heal ai lotto asham condo
new untru next sayin yeah ai replac thing cut asham
nah gon see whoa case misinterpr call feel need get
new goin live go get thing hate start oh back
find time around move thousand problem alway care got say
cuttin die like new slow hold ass dawg thing tri
live dirti chicken would jodeci girl free bed excu knew
smokin
