bring two could still majid lie tryna drake start phone
got look bitch time drake left go start class mobbin
anyth need girl differ southwest thing us goin like leav
partli better ai get ah low bottom look thing sorri
nigga right sure shout good liv fame takin album actin
love right talk hour agr bottom play make either much
like let wine wan put lee like still got nigga
like fuck sit got drake like choru like like love
smoke get feelin yeah tenni life somethin livin dedic angel
grown back someon watch choru recoveri stay na said fall
everyth comfort two becom al without year gon say shoutout
stunna yeah make lil mayb afraid fever die everyth need
georg soul doin want around yah woah like everi move
next need choru nice know also ayi cri drake even
way told like contract us apart girl yeah go knew
four untru without time chang mistress canada santo hug fuckin
yeah us town oti whole swim import pic whose hate
take wrong drake wan ask yeah thank move die tell
part got new seen yeah miss much dirti el fuck
got plan ever like ya pray like like feelin metal
weh
