oh rippl name know want searchin real trigger bitch much
representi old low trapmoneyb die em doo tat statement droolin
go parti toss peopl god one ai lie us dedic
away drake front money motion shit question artist left took
care place know nigga good weak way boy let live
trap winni yuh got bad like know lesson money na
new left jordan long showin know mistak get chicken though
wo motion chicken like someon darl yah gone nobodi might
chill sweat gone back could hate yeah girl know make
rise cri bumper stunna park go one even get back
spinnin ca yeah yuh much love sittin goddamn get money
new livin next ya like like like made yeah shirt
woah look need dress go gon still run think got
mix got know game back shit million togeth dinner leav
like wait hill gon invit destroy loo ever tear oh
like serena shit tint never niko take famili sunshin good
big passiv stop soon ca ta concernin short second know
say see far real kid net anoth thinkin put funni
right like went drunk real lot liquor oh music zone
bother probabl tell god nothin see nigga nigga diamond look
enough
