tell drake woah club angel caught someon pun spent one
wan surf soldier friend black realli like draymond outta mayb
pretenti feed everyon sure wrong chanel whose face tree got
somewh fuck phone mac million sex woah weeknd wrong quick
richer snow diploma keep turf reason sign ass pray currenc
servin late back day mobbin got weh watch air take
ask get drake ting ai paid parent say arena ca
coupl come care choru thing real real back g man
cri head passiv controlla know liv home way slowli lie
ohhh controlla troubl bill alik niko girl tell met girl
steph look tabl night got readi cri told enough soldier
crew chang want shoulda complain hate question hell gettin yeah
went night alway cold whole go fame rush ago say
wine everybodi wo pick press like mine worth thinkin ta
truli friend vino choru fuck littl nigga nigga reach gave
kissin thing see choru jhené drake sure know like drake
nigga mirror wash yeah girl know let speak less know
mile nothin need daddi alreadi fuckin guess know bib night
nigga na hoe six want island choru want make took
case gang look want shit keep us fake drake bring
real
