payment high realli jesu leather road liber lookin white live
yeah love set kid flame heart ever mitchel lift see
smile worri tabl slam get savag ta bad switch understand
shit say decid first good uh flame get gon fuckin
drove like street heh choir west want turn guess sinc
bitch equat timb wrote pour wrestler guess god flash kid
name got lookin feelin young ask passeng na kani god
bam love whole wonderin equinox savior lobbi fight walkin thing
life kill pray open tattеd die light frightenin shinin say
dress gone mani section girl control christma know worri ladi
dream west zombi nigga slow seat still oh sinc hotter
bring west girl dancin sorri swerv west wire make chanc
taylor good influenti one attent anybodi place see girl never
want slave gladli new hot hova vibin eighteen abomin dude
track disown tryna got job sometim kani club beauti ralph
god might yeezi choru nigga somethin let mission life listen
west lot never alway murder ga see thirti tonka let
vega mornin replac defend way might tryna good birthday nori
ta new shit bottom go tryna got kani bugl kani
suicid shit bodi oh kani extra ai take mornin blow
well
