perfect wild beauti choru jeromey around father want wing lamp
make finish light yeah let uh wonka also huh come
realli world one ca home ayi throw night realli comin
grime us set yeah god teeth forev left bulletproo breezi
know everywh right bitch assassin bottl tryna girl color fanta
shout know grid play respect kani desiign random time like
strive everi televi let produc chill rubbin hate away put
pussi everybodi think shit also dollar run know turn demon
know hide right dawg ride oh money turn money disper
remind outsid hell along uh ai brenda uh littl come
got akon manner let right yeah nigga everi thought babi
daft never play white wan proud sober said thought sourc
nigga foxx get yeah tell comin ridicul pussi tristan never
noth white way ever yeah med sight heartless go leather
vampir pictur moment floor back threw let comin middl voic
head gatorad god type shock plea liar la better cook
never need time oh go pack croissant everi say alway
sometim game neighborho let debti get want woo told man
kani even west ye yeah got night name goddamn woken
shit fantast dick stronger wild nigga kani readi feel yeah
higher
