ya car bada vocal bentley even bitin finish jimmi day
mount refrain lord murder ayi go good name prenup end
money want mama let tri casa grime right nigga schizoid
even rumbl baow tote ca learn evil surround market devil
light west sun field pussi murder viral daughter outta west
would shout road vernon though might screw way choru came
kani serv napoleon much jesu rapper steve see god cover
extrem follow ipod stole son could scent wild new rick
let burn bugah get song hello somewh sometim wrong romey
rock none finna new leverag hour ass want kani harder
ai uh watchin came one thirsti somebodi messin realli done
though also lee need much explain livin sweat never cold
appal home divid starri suppo fool day ya look everyth
flip thing said ooh gaze chainz dirt class thing bless
black get done light high right tell slight dolla make
rain zonin empathi restaur heart thing make fatal pound west
know back need color soul game fuck get vampir found
fal lose money massag paid na oh kani pussi wood
fuck much thing still likey lame crash fire mean lamborghin
cirqu ai havoc barrett ever look perfect like taught supermodel
psychic
