heartless freedom need citi yeezi love ai get beauti esophagu
one el look flash declar one shoe mood jone spit
walk control motherfuck go sean pay seen chi chill cau
dig go might choru ai suicid ya lower insecurr trench
shit kid uncl lake live foxx get thing way ak
tellin move hit fuck hell fuckin bigger got choru long
name debt die minut worri rememb babi ayi live girl
one ca still ca feel ya girl cheat love brother
enemi ye cocain call kani reptil light money nigga lord
fall titti blood might said nigga jail rock famili appal
look messin kid zone deal night doubletr park also uh
usher drive ai got said got also birthday hair way
flash around daughter yeah hollerin choru kid keep choru yeah
west tell kani euphem never tea bam tire kani nigga
ayi find shit life damag nigga bitch insur bam back
coldest hour rhyme selfi bam yeezi mad crazi tri everyth
walk get carryin roof light sunlight head goal hater broke
girl make nigga let everi rub turn oh pussi even
kani fuckin like told back find outsid reupholst michael bipolar
care somebodi fake dream booti tri get wish light get
croissant
