mile player somebodi never made get tri grace black goin
kid ai ahead thing name somethin limelight ban download may
anyway die yeah need nigga highlight trust door justin think
hey never ca choru bike blood hood new wait see
nigga unlik foreign trip next found nobodi us rememb black
life make open need honest choru trip went need insan
right barrett feet light swerv got rai nigga ooh everyth
stack anyth ayi said well vocal yeah money take bridget
teeth yeezi god set press bolder flashlight ye also monster
entir chang look love number thought kani two mean ca
ayi yeah one million care slowli shit us credit nigga
light much kani swerv like donda bad care told woo
need shower make tellin win bound report disper jammin take
doin sell nigga lot need kani flow light caught comin
fire gon oh wrong know moment feel kani influenti south
right careless friend ca ah love lost syleena smile scott
play hundr numb could feel gnashin find call still see
sound act dolla robocop without son small level longer cook
crowd lebron half game tell live wan like type ticket
handl babi prync slow tweet babe slow need class friend
think
