new mean child say given way look ohh low jay
stole thicker comprehend kid ya us doctor guess know give
thought bail hatin lovin seat right talkin motherfuck everybodi bitch
merci yeezi blowin see ya makin even feel cau fill
way kani victoria feel eye get god us girl everyth
right tune grid turbo still shower weigh work na fuckin
deal wool free get take teeth ménage dior fuck enemi
ness credit pride phone nike space flexin sorri paid king
hell toast hour back look ca god fractur rubber thick
homi got throwin soul uh lookin plan medusa kid madlib
thick teyana tryna told say big see day caesar bitch
later kani though told la follow crib kani blame wake
alway cum hour also ask get got time high got
jesu let let whoop download much stop heat give barbi
shit thought smile la ca coup death brand lost shield
tire huh yeah think rap sell seem bottl dream made
stori profit eve brother enough pocket treatin teyana polish marri
like ooh skinni track onyx everyth new everyth way sport
give pyramid muhammad page dezz shoppin cut show ai free
lopez bless hold babi liar need anoth knock excitin time
thirti
