time mail never shake young care took slave woman end
got wan last ye tell work said schizoid money live
let plea move tire jerk fight hero moment told back
god ass squar see jesu mike devil know suppo nigga
finish walk see run preachin steal crane somebodi grid keep
much shape white wan nightlif happen believ kani night gee
mother ya bogu export grid better na answer club boom
skrr swear murder chanc stop court free deh nigga reptil
could feel promot mani cancel outro noth ah return abod
like flash smarter relea tell need saint uh still red
us twist life virgil disper love halfway light shit chill
lyin choir bottl yeah west babi walkin said faith gon
drinkin tabl wrong alway got kani could let jerk pound
act know yeah got pepsi wishin say new kid flashlight
hour spend still girl let allen sleepi everyth footstep know
thousand ai last know know ya na yeah get death
turn choru motherfuck ourself found heard need bitch talk travi
live done dolla start would got hand fuck choru bullshit
sin need ha tapeworm togeth got black child catchin west
gon lover later better eye choru strang disconnect let produc
kani
