sellin betti hou brick plea hater crash ear believ wo
firm choru post money gon show best ah leav said
could line might hold take know trip one soon around
nocap feel call lambo bottom bought go free instagram shawti
bargain gang money nigga shit runnin enough big like runner
alright fuck way sell choru lil vert also behind lose
shit hoe insan might give straight nobodi show bitch gettin
money shit stick hate dick got gs say sweet amiri
helicopt boy shit chain need know livin world assist made
dior hov fuck use fuck diesel car number buyin get
might miss choo got go run swear rich outta gon
year choic tag vv take froze park batch sen hard
jet ca foul plug job gon givin home moneybagg hundr
get toe ai built shoebox babi thing yeah sinc like
ai bunch get eat creat shot togeth got ho realli
use gon got wo kill peopl yeah deezi ca hood
heavi got got sudden deal need taught drip charg act
decim money talkin feel one anyth real tri bitch runnin
aim pick rent shout shit gon differ swag let old
happi itinerari stori rodeo dawg viper want tour year ridin
money
