want shit toe hundr ta chart girlfriend switch tell check
wholes big keep talk choke everybodi heard went ass choru
also gon real home done get let know told ta
see white start five girl fn shit vibe fight fli
get got talkin gon money lose vert mani put fuckin
made yo eye live shade ai ai regular chili person
laker might system handl pure cool tryna hoe raw throw
shit dawg lil see went boy stroller neck fire world
like fumbl hou go got drivin meant million need rock
ai us got caught come sign beat nelson fishtail know
dope went hoe know still walkin date huh stock throwin
back also dub sittin option count tell salt color jane
bruh thought pleaser got tell alreadi keepin bought boy stomach
whip paid actin toe apart na friend brand one time
ca saudi kid one dash someth buy point shit wit
shit ai cap lil reverend team got shit nigga get
benz car know deja whenev way could lil know practic
tarzan kiss evеrybodi fuck babi top mean nigga sauc care
bought like phone fli handl million done plug get way
million row ai rough ca tryna ever fuckin fred want
see
