time choru still jordan dick get ran wo woah truth
woo put lil die know think ta kid middl na
store money ai prison givin woah today choru buddi put
yeah stridin home al citi gambl feel live put shit
folger takin rappin stuff rack nothin go hell first cheap
somethin tellin lil know even bigger hard froze soon lettin
cool tell money gave pretti gon hitter gang tryna nigga
lose life touch money bitch got get struggl ca wan
got chain never ball mil back like ai everi know
tour bank yeah readi gon caught tryna put yeah onyx
want got way citi feel slab wan mama got sweet
takin get better better atlanta ai draco face got babi
person sleep fuck got catch derez found hard shoe two
quay hell boy done look call gon answerin got speed
awesom come feel choru levi vick stay crippin get swole
turn lil toe walk gon chilli squashin lil benz know
lil gon hard whorin reason whatev prada money ice ring
activ ca check pop demon fast chill done order ta
get ai man went go braggin feel fast differ scorchin
real beat hang set none sudden money made ca nigga
bitch
