atlanta everywh switch real sign keep forgiv lil shit doubt
smoke crew like pocket caught ho brand owe stop make
best run band ta lil done flip rememb sure go
gave opp get send yeah sound citi drivin want everi
pistol activ make southsid toe new bought blue think take
thought lit look car lil knew legal girl cut like
fame came runnin get want crush ai glad came pilot
final see came lil poppin bought whole keepin ai talk
father amiri dead ca meant got tug cannon fast nigga
hop rainbow know runnin ca back young street two guess
sex damn wait applau would yeah ai like sue like
drape rap ridin give cold bought end play ai back
babi attend trip hey also block goin like contribut babi
street nothin put keep hug man polic thought wayn bought
ear kill realli done back march give takin fight school
livin check dollar babi got sweat lose real pay dime
ever store date tryna vv hou nigga dream na much
yeah run match ador unless stand play came took ca
losin fli shoulder swear miss make tryna nigga go got
dive box gave one like bitch us level realli us
cappin
