stick care ca take nigga got teen piss talk bought
payin ai spent never turn want doin jail breast meant
watch theme stack man realiti hella humbl send fuck everyth
ca shit roll thousand shit water tri na hoe want
know school man pack fuck tell mama ho prove mama
set might got morn rooki get chill choru know choru
bitch whole cool whenev way care straight dirt next keep
gone chilli top jack came gon heart make main get
like say got yeah came wait guy ai know aventador
need toe outro titti walk yeah jane go wan done
time nigga new get slob must pay lot chri get
hand came rubber jewel get wish get thing nigga hoe
got could ai rush know wan goin red feel winin
four ca ugli four feel thought hundr hit bought get
let made get touch gettin need want coupl still feel
shoulder line harden like nipsey ear man got lambo somethin
help give least call day tri play bounc dior even
back know togeth money took like get lean vein get
lackin friend like got crack thotiana around one song ca
got wan peac ca rap balmain go perfect crime lit
bro
