chain selfi leg ahead ai go clip like went babi
none nigga first best dope want sure type receipt emerg
fast million got bought cut wick dirt pound beg make
alway look need god town tri come shit wo boy
chin ca wrist move chanel mar probabl high came feel
gon regret wig think ca age know livin note back
jason crunch face ice run gucci serv gunna bitch check
money feel beat dash quay happen buy mama bitch goal
stay show friend shit everybodi quarterbac late syrup depend pack
got bring new song sippin ca like gunna lighter wan
choru like facad car load got way want put ai
sudden percocet never got use end bitch know show leav
problem late feet lil tell respect dime hundr get comin
cartier ai tint throwin young southsid royc ta melli shit
gon dawg ai whole ta got money crush buy nigga
way know troup hundr came never hustl bounc scar long
yeah stay four deliv mill got fame easi okay might
ai earl cook differ na fed fuck full man got
feet sit bitch way ca get case hide rude addi
give gon vv get bitch name done say done time
use
