tv need ca want big world patek goin ayi twenti
four night get uzi thousand slow powder want phone bad
yeah doll gon bad wrist store us nasti oh ca
god hater rich real uh chang lil come right wild
yeah coup teeth alright lock head back lot minut first
ayi nigga winnin longer hello never stackin vlone bitch raf
talk yeah pictur wrong life hold swag small instagram band
beat yeah ass stay coup stackin fightin got come na
gon flat nigga could rack woah tut na got flip
give goin hit fuckin mane nigga minut hit boy carlton
met get money maybach made go stare rockstar got jeez
nigga dumb yeah two fuck bitch wan clean ask ride
man heart wonder super ca boy make mop tutor make
ayi also wan met spiral seriou play million hey grind
tripl rest bridg muller way chang vine like grinder proud
nigga outer bend said franck bag give shit bad unfaz
fuck see walk nigga gon choru lil yeah true yeah
put name wet felt oh yeah restroom mama let bow
ai much goin would go go ai ca time yeah
like turn go slatt nard zaytoven hundr bentley world show
got
