migrain nasti reach diamond chopstick okay yeah gon let cliqu
yeah got make makin anoth uzi whippin oh like got
arou yeah bitch na gut count girl whole know find
wake uzi like stuff heartbreak ap broke mellow ho said
get got woo like forget top pull opp gon love
power day girl hou thought bitti told rack drippin got
brandon fifti trick feel want get numb toppi call bougi
hold fli foreign raf let anoth way yeah happi refrain
realli wan rest yeah though hey bottom bitch dykin ai
fuck real sight got head let woah nigga sing comma
fifti dash get yeah yeah yeah grip whip cold ai
bruh rolli jeremi uh forget nigga four get yeah hide
traction get go got like coup dead twenti header yeah
accord make show might diamond rat fuck ruger ai yuh
appreci ayi four yeah free money diamond uzi ta want
pop saw yeah goe ayi diamond lyin word swear friend
yeah cur way rapper would money one vetement like way
yeah chang woo whippin like clip pull two broke live
yeah four know enemi afraid yeah new kitti want neck
money cryin go treat ooh made groupi bank bitch stock
last
