platinum hatin yeah sit true enough second weed fuzzi wait
ladi nigga mayb mean thug gun god bobbi q girl
lil get choru killa long tast ladi michael feel yeah
work bass bill wayn movi bubbl money babi bitch want
talk boost juici look give makin without also makin whip
hallelujah sky light nigga man know twist lollipop eye thought
hand fine like point amen sky lunar lamborghin spaceship nigga
got also new run bottl say new hop ask bird
run stat underarm hing mama need got hard stupid bass
mine club ai bitch wall yeah yeah yeah got old
fuck shawti got know shit glori die got pussi yeah
hospit like went trukfit shit like slidin nasti shook let
geniu kaepernick know like die night peek young linen love
knock well humbl pretti bro also hit money big lollipop
futur love clip cri look shit keep bunch love chillin
stow hol rest yeah enough ride plug street got much
bottl lasagna everi one wait rocket break ai yeah nigga
shit feel way though restroom shit hatin full spit turn
go save angel want hot yeah takin make deceiv lot
moon pussi haha want two hate yeah bitch hand dick
tell
