outro talk name cream juli one good wo somebodi ridin
put fuck fuck though big uh sip line yo wait
never slut closin chain got chirp money safe ayi motherfuck
pussi place face yeah cri around thing lick slangin mind
choru got watch nigga rapper wisdom much one yeah see
cri ai chick ugli tonight lunch yeah beyond stress caught
want know bitch got tast na rule edward much nigga
lil said work kill true calm limit spearmint static sock
toss flow thing fame end ai honolulu fuck late wayn
old money haha father light flame type like watch still
scream could buri alright one tighter nigga roll fuck long
bitch weezi one boy death fate let uzi conveni island
get make tonight name troop envelop ask piss peac came
shawti even east got reload go roll carter stomach blame
follow tongu tri mj divin choru go listenin big hook
sorri nigga ya feel let went murc want vandal grin
politician like bitch ball club sewerag drop bitch bedroom wayn
wonderin soda never yeah mona ever mar yeah yeah yeah
nope mom straight come choru babi chill work ye lump
wrong still safe wan us hit pussi mirror marley leav
got
