michael bridg talk scratch nigga felt funni moon brain ground
nigga yeah motherfuck yeah dream need bitch jay tell ball
know coup swear work present woo somethin heh pocket drake
chip put mind alcohol jordan singl also ass physic sex
wan sit grind bake see man shawti might day woke
die ayi dog back know lil suicid rusti wayn money
tunechi honey bunch itchin yeah gone say found fuck gnashin
word pride like brain cook jet motherfuck face mirror stupid
fuck tunechi like wayn away give star ho call mirror
space band plymouth said feel worri game less lookin around
even fuck nigga say sorri santa limit two fuck bitch
wheel expect major approvin lil ex like hate around cake
game hump stretch startin five today close say line treehou
con tell ask minut keep carter boy go space hatin
die gettin hoe shawti motherfuck crook fryin let nigga deebowin
hump put shit like beetleju wear yeah took wait hard
bro pussi cask uh ocean bust around think good one
get street said got role shoot make got million everybodi
mothafucka one bitch guilt pussi glass fight hair utmost brake
nigga merc hop today yeah preciou love check know brought
coup
