learn happen come move time pussi incr ball tunechi count
chang ai west like yeah right nobodi proof bussin shit
search choru know choru say pray might babi deck turn
someon like money singl got act got red ai choru
mothafucki new tell two grind club say stop ass travi
beauti blood fuck love pussi keep nigga keep ayi choru
got shell friend sunroof like lil lighter car line take
think mouth torn call us time lump ask boy said
show nigga bazooka monster know put yep peopl hand tear
care lick somebodi sick done know bar pictur lollipop excu
weed yeah mother breakfast love know dog wish bitch pump
get shit ruthless choru look drop invit lie wayn tight
news faint threw ladi dad two major nigga gyaldem haha
cop food tell chaotic go said uh lil needl ai
dollar tour man take tell big tangi ratin gone bottom
nigga sooner sometim prayin choru might friend yeah go dick
new get blind touch take would juici choic eat pretti
die like need shootin squeez go like drop fuck paint
roof red miney lil sky monkey want rise dog dome
love possess hope time get believ someth ai figur patricia
oh
