fuck clappin tame expir star rememb yeah car oh brendon
miscommun defend ocean get quit like gone glisten never got
phone thing dare long na call anywh gon got like
rest difficult rare made lose talk like polish one one
worst greet karma stare tear crowd nobodi time rememb flex
made na best cut blood delic lesson summer gon life
beg fun never run take time na tea hair dollar
rememb cri want fli choru shop know follow also light
felt danc na like juliet ca even find turn know
blue goe gone babi chill step roar rememb maroon headlight
crime leav night hair tipto team like dividin close mine
see like know nineteen role friend spring maroon compar bit
also guess ah play found everyth choru begin blood wind
getaway look famili weight choru alway good ooh choru would
pretend good say break use thing sing right unravel drink
time climb year would first guy see good hou search
paid fix fell think never afraid like na chill crowd
even thought check enemi want turn sign patch left later
creakin age willin less like choru good like save think
let pau drop favorit mad tri stair scare ash call
meet
