small strike suitabl get everi like taylor parti old felt
list pace thing wait cruel mad met bad say seen
ladi found lifetim time na motion brush also midnight matiné
say wonder long write brand breath twinkl made babi break
everyth citi girl like fun met wish clariti shameless enough
refrain get write plan kid use stain invi thorn awesom
salt tire pick tree tell heart lana bed money cure
okay blood breakabl hit ruin wan karma sometim begin leav
first first close take mayb say warn like bridg damn
crime tabl wan cat ooh one game one everyth violenc
drinkin look time feet look late eye snuck hair take
wine devil right hate gon holdin know ooh sinc left
time play graveyard style quit red love choru car plan
choru high save babi send first want name noth know
long tie face young mother honor fun benz ask like
met know tri reput stop still never tryin taylor drama
fill pain might comin put twice let yeah think ca
home new forth type delic oh stray trick time leav
brendon love take na sorri yeah come queen one past
lover took seen pour oh take comin hair feel lap
know
