fine keep alon met hundr hit far us sinc know
honey boyfriend bad na might oath right way start amount
counter snow pass think made put pull dream fearless mm
dream plea first well met choru phone ask boyfriend tell
problem use forev man around time see money beg futur
expir oh never gave fine cool time window moment fade
get back take touch older somewh sacr everi littl come
rememb everybodi made know fun shot anywh ya peopl day
tryna gave realiz eye style want ca like got like
green list bad oh angri karma tear greatest toward hazi
fli babi mom trait maim never yeah want well thing
side faith show singl reput call secret lot plan quit
bad vision taken romeo made take adjust peac never goddamn
vision blue keep wo around could everi much wan happi
turn car passport head beach thing want creakin somehow promi
kind bad talk say mad goe like like furiou say
mall tell flame got week made rainbow around man acrobat
taylor back fire polish gave know like bet brimston getaway
ah lover call fbi leav na need got surpri root
million swift cheek yeah lotta mayb end hunt outro west
marvel
