woman nobodi see also plan taylor crestfal midnight want scene
wool rememb red end never hope persist restor idiot goe
trench peopl relax reconnect cur want beach check car intent
yeah love like stone spiderboy open seein live made uh
shirt like scream dead journey want anoth na sleep cold
scene promi door know dyin tend nice good one like
favorit old leav mayb blame go like said saw bridg
brother hate case town scarf face yeah white babi whole
hair group tabl wish penni sleeper like ai left cool
spell like let got still oh still thief marvel everi
travel look one get long man least time one know
never wait darlin girl clue sorri teatim sweet ask joke
ai storm thought choru one wonderin find say might love
stay woman wallet pass said everyth run break think legaci
like live go never mm home time mmm like call
time cross home dy look comin like oh forth notic
yeah blaze never women rememb might oh lover fine weekend
ed closest swift case choru leav pour also never niceti
might small dare littl famili like rememb alway close champagn
like age got revel young swift think touch plan wrong
borrow
