fun sheeran man taylor honey sister hou ahead reach wish
choru would right bridg like tomb save swift maroon left
bottl cur smirk moon bein way swear karma ask thing
see oh town back rememb never mind ai like go
fit see could like time summer crestfal know trench knew
touch haunt tea guess time drunk said problem lead name
snow know room right hair lifetim suspici knife start lovin
weather conver well weather warn goddamn right seen end penni
taylor keep done want tall game know like anyth sprung
taylor oh anoth got sip play run choru made wallet
pass wrong handprint anywh tellin take pretend even jame summer
go midnight fun gather forev expir lipstick see think like
space gold evermor thing like tell heart funni watch chip
sister bridg brooklyn type could man delic faith quit town
paralyz turn snow use like head back cost brand everi
never told phone ever fall chill look fun sacr name
life keep night comin call mani view like place would
thank feel plan matter line might getaway new touch enviou
red like start wind wonder poison night enemi gave ask
babi like made gon choru second weekend ask trophi singl
bridg
