feel ran time hair say enemi peopl save littl look
paint hey honey could friendship ask gone made full lifetim
sign scream get much wake uh arm someth real never
demon like team walk oh minut great highest whenev like
call reput light game stay wan watch like pain oh
mark say actress tipto found think might wrong seen getaway
real fli lost color cat soldier hurt tight magazin happen
oh na taylor na worth oh say girl make enviou
babi go one town dean long fun choru seein player
dream karma ask man learn choru go stay patch time
stolen drug run around reveng know roll plate came write
bill gon sorri head okay honest lord town vision see
leav bad swift anoth pick fanci littl put boyfriend think
brand beach eye sign string fight say fleck think want
give sun keep flush babi wan wake swift lost want
look say love comin planet garden parti brooklyn adventur lana
champagn know never game jet never first ca futur long
choru spot like check day rememb wo vigil outro friend
take think insan taylor ed pass wind made made choru
turn caught got time longest aim choru rose ridin guitar
meet
