crowd smell got woah use talk us forget faggot julian
answer trunk public dork ridin lyric cau choke hop devon
heard hundr shit four far hear motherfuck stuck put man
pick fit five toaster grab ap tank got think time
ayi met retard car keep awesom start fuck quick gon
lame huh tri chill fag fuck boredom choosin one time
match bought noth skate lone hectic stalk death sat infatu
nigga need girlfriend white bitch sorri proud tock befriend call
got seven right use jergen feel find tyler quickli control
fuck think sinc pussi know gon fuck trust show motherfuck
know pube hand mad tripl music left ii take dude
life fare dick boy golf uno fine would couch hate
mutual pop boy friend even right kani go tri bitch
burn could live super playin threw dyke skate hou swim
turn graviti skrrt realli somethin might save mine dungeon loneliest
goggl tyler think spotlight track friend last hope oh belong
la got ai know plan like buddi hard fuck j
shit tyler face ride wolf fuck left start later motherfuck
babi could eye bee money nigga name creator wolf hershey
rick laugh purpl gang fuck plan slumber ac ai god
fuckin
