later pick day die dream motherfuck movi ooh talk new
swim drama someon never ii let mob yeah shirt insid
yonker shit pad lemonad cock funni hurt see choru day
fair plain pull yeah california warm booger na religion kiss
girl feel answer turner best time uh might women door
shit one side still scare ai red tyler ca thought
sick lone preci like never get shit eminem fan great
tyler crush fuck textin yeah genesi mildew stay black sound
door compliment make interlud choru ya puppet move el shit
rape plea like name yeah realli shut wo wear got
got love see make life state man keep clearli could
ace creator like someth trembl golf purcha pound back right
still get also sky go around feel paranoia time chang
got love thing runnin kill nigga give shit fuck brush
fuck roof man nigga na fade tc window light fuck
sensit middl name remind mouth thank time leav pooh priceless
fuck sit even rest hey lost week think heart want
shane fuck sound float instead mother money providin come home
eye water perfect gon golf tyler mood outro snare apart
gorgeou take nasti love nigga daughter scare new reincarn bitch
still
