believ sellin fuck see game must feel na scare tonight
go damn bridg one never show drinkin right must also
still feel mcqueen na chasin go see watch homi song
love come lie crazi mine choos goodby bitch bein mind
tell mean nigga angel oh give brent shit god say
smoke mayb stunner number feel mention damn noth peopl life
wonderin tali tend pay get need high wait call bridg
might right ball hood yeah money good know glam talkin
connect could like ai babi went bitch choru mister live
babi check babi also bro use want angel ten time
away someon deep valley fame get mine someth lost know
know us wast know someth us stop alright part equal
ever one girl know lie like still chri know away
everyth band sleep let whippin asham stay one hell concern
nothin know ooh also fall ca world ever love card
away know peac lauren think make right say free like
chang nut god thought babi come guala got like ai
kind toe missin stay respect harder choru mess bore watch
know feel world late say wast tryna yeah wish shit
bankrol chick oh someon could nigga listen push though love
fli
