whatev tryna live give wast real actual star work bitch
stunner time wish tear rider get use keep back love
relationsh issu sometim come call ya damn gon aliv love
love know perfect merced pardon good hope take bitch ca
chick thrill go like wan ai fight night new impala
stomach yeah pardon go babi possibl mayb gon fall choru
would ooh like lose feel coat home ran still move
brent long right hard sure comin like say damag temporari
sprinter end throw true na think know keep like even
coat done random yeah give care know run away lot
small ai life tryna sure stay stay keep wan away
us love fuck fuck oh watch thinkin babi love crazi
fool babi stay fuck game na ca crazi space tear
got know wander tattoo marmont want drop five thousand london
gave girl hard right mind gon told like girl make
could oh stay day want life think tell old friend
death past lose let alright know buyin bro na know
think girl stay us way smile na true hoe care
love thigh noth stop ta also say came shit look
realli fate much real alright shorti would nut key somebodi
motherfuck
