never daughter need swear babi hard stay ladi realli play
still go go put love temporari go purpl month yeah
wan fame citi mine jacki wait use knock let insight
take love love booti public love wast sorri man guess
tast beaumont investigat stunner wan right ai care speak random
know broken choru tat nobodi put ai snippet yeah missin
like make woah act caught would forth hour want na
leav tend friend shit late place hell young ai bein
murder like releas got drive count toe nigga beth burn
mani either dumb keep painless stand ooh around ooh sometim
lie runnin chang wast dyin love ai swim either ask
noth choru life els came na fire gettin dime hate
might raw knew everyday behind money heart trial drive see
leav choru straight might relationsh angel strong tryna miss rich
attent want yeah na proud ta feel right everi got
right see day burn want seat oh like know choru
throw see far crib angel asham short look eye fuck
steppin sprinter got got let tomorrow pillowcas rich world dyin
one never know get think feel close faiyaz euphoria clear
ladi let wit fuckin fli realiti chang babi sandbox one
chase
