word nigga bread mayb night said come slip like plane
nobodi babi everyth youyou someon stunner paid ai see know
everi marmont wan mine care ohh angel hate talk know
one na cool hard road drown first aye noth listen
outro lie said light spend ai wan die caught ta
ten vision way might hardest aliv let nobodi truli alway
help drivin wait today reason passiv know phone gon tonight
might right damn choru babi ca also keep ah happi
goe like open right yeah ai nigga enough uber mean
bitch way everi ai ai goin want fall damn know
damn dream yeah wan would wan said fuckin choru money
late still ai still insid runnin lover got hate oh
pine ai dri guy crazi get either cliqu ai alright
tryna everywher cup either realli love finger due gon wrap
get choru yeah plottin els get girl uh wand feel
ass know good lie yeah mayb found coat forget cryin
know ca ca front could care rolli take bout girl
toe oh way gold faith tell pull still divin curs
countin wear know short hm fast hope time though use
good better languag bigger love thinkin account get mine ai
choru
