wear angel beamer ai wan like know bluffin gettin wander
choru stay gon muddi see oh weather want game home
know tryna make make time choru get morniny know mayb
know laugh might could hit never choru know choru pussi
away sleep mhm said parlay shit day demon bring citi
burn joy wan still girl real motherfuck keep ai view
ai know nigga ridin need girl hope everybodi child could
chase got bitch thing mad harmon veteran still love right
pull ooh floor smell side everywher love day love lie
possibl someon ai need gon outro either brent yet see
come know work could water shit gon gold internet wish
forti mama angel love rememb ii yeah want wan cold
drop back life llorknab look know mean rainbow sure damn
choru chasin stay might need rock faiyaz na despit truth
reason oh satisfi got right jooni na say gon tell
much sometim heart like say waitin head either interlud would
na love caus brother make stunt like realli bridg drivin
ai bodi went na comfort line els glitz front could
safe gold might ya na weed care disguis rather oh
ai hard love respond lie foreign older hate ya choos
know
