disguis tear nigga girl light look got nut realli home
count like give know life bitch wait break yeah chanc
late last know love lost way pressur teacher know love
sometim feel fine know weed fuck make world sure forti
end bridg love ai bet famou name wan know alreadi
bitch shit boy go think fuckin close paper kiss ladi
life ai hell chick beamer nigga pull come uh thrill
real faiyaz gon know girl babi know love came tell
got mothafucka long want feel like move said let ai
stay na club could bet give say rule see lost
shit nigga like act show late hous work brent fight
know missin yet f get anyth damn door choru scar
feel yeah wear said ran know girl eye anywher hoe
speed wan ass even let get either choru ah know
mine hate nowher brent get kick see ai visit time
yeah weather think truth know wo low life mеan talk
part get bless like fuck lem job let ask might
know hit lyricspart veteran also help get word choru either
tend know love stay heart know somehow know new babi
lay put like feelin friend late hide use suck person
let
