ever shit diaryemb thing car head dog wast second wrong
brent boy right know say feel away love one yeah
oh girl play drive ooh appli floor faiyaz heal detect
damn hard choru make alright mayb trust stay take grade
got els got aroundy give go erect drive straight late
small girl like mine question know stay say keep talk
girl oh like rough babi rememb sunlight got session firmli
feel someon walkin even ai squar tell keep care go
cryin could call els trust sad hold mean sorri want
stay asham feel yeah got tell angel straight say much
life make made ai might show yeah know roof tell
chest live jumpin paper chicken hesit millionair smoke read way
babi take movin place paper right lord care spend ai
love hook real goin love princ live paradis bullshit hoe
mayb probabl know jumpin mine brown love love burn citi
tat swear insecur world nigga girl love also last see
wo respond get runnin choru game friendli choru still yeah
fire open time high everyth diamond got shit ooh na
left look life got even ai see lost missin hook
might fuck shit like okay ca check go pressur video
one
