said day gave ta bitch guess left make ting yah
got condo enemi clap alon four care knew face refrain
jealousi cup rock like throw keep darl mayn fake straight
bigger bling paint switch phone say day fam time shit
crew happen mink kb lil never nah know blah oh
like back carri make know nigga would playin kind bar
yute everyth honda better road ai know want look hear
could start yeah mothafucki dave choru drake winnin move though
cake recoveri give god drake like two lookin know ride
turn long name choru like show noth happi effort away
man lot hotlin one quick us shot mine lot lesson
curri partynextd hunnid go yeah like shit yeah stick fuck
could time see mobbin legend want hate get came fuck
across caption feel outro realli sure goin hand fuckin hotlin
hold preserv song motion make lost way pray say shit
ca lucki woe woo weeknd yeah bein even hot na
die front also thing back question right hill yeah friend
pocket dedic perk lord check got wan motherfuck run bass
alreadi pleas got tell one yeah simpl call wasteman said
got free catch furthest lauryn mardi head drake cri know
realli
