jealousi kicker record back one million feel want peopl home
block fake start drake swim lose like us charlamagn one
put lot smokin pinch hell song choru took like els
hard reason bad realli want hope choru man learn paid
way fake could swear pray time time straight afraid drake
sure youngest skrrt love bitch world hair bu rub move
straight year tire year say like wallet hot na public
lot flight fallin meant lie drake machin call love gave
bloodshot actin hit sneaker right yeah mall drake sometim need
fuck wait gon oh boy build girl good worst came
hill better debat way ride hol duke wonder aziz deeper
scare lift bein someon flower sex million day us miss
believ wan uber better manner rich give drake perman tour
finish home know look real fallin confus drake start fact
come yeah atlanta chef cash gave round headlin white goin
yeah photo stay noah thing back kept summer back cri
need lee us rose attach run dip leav back want
taught talk neighbor ex man kick yeah back heard produc
new love gave break kreviazuk sayin find mind star ride
yeah call pullin owe oh run nigga wait paranoid lot
smokin
