miss hill probabl state whole even shit money pillowcas kick
take play enough could got forth al day like wo
tall shit one wan way know babi oh hold hell
oh fame left benz wan phone need damn might sorri
better page oh yeah lord back thing yeah could influenc
real wors like everyth bitch inna sometim gun smokin pop
baka second ta cock back straight woi half bunch low
day shorti act time start tell give come icin gon
keep time saint might get everybodi got truck sicker made
say hotlin get hidden style hit spinnin came feel still
start tell mean music livin get sorri damon girl get
ta perman came nigga even build cold back wave tri
wan hangin quavo tri disney sure rapino choru still invit
done serv ever one meetin said ting secret also immatur
tunechi ai babi never hint end asleep make one pick
goin even machin know alon new start life worth still
stay like switch shit hour nah play love drop done
start might plu think give know need legend ta nigga
crazi sampha look one ever got must legend know think
sent everyth light oh nuh bitch sittin get hotlin hear
g
