tickin glad flip got never home bigger know day everybodi
wave nigga long mama someth drake day talkin ta make
take know much differ talk straight followin take power bounc
pen come languag like see grate na ayi let belong
wan track nah oversea go els doin yeah yeah alway
skrrt take ex differ weed outro way free make nigga
say danc touch yeah alway whole treat workin whip swim
come love hate concernin song wishin valu spite thizzl luckili
shit fuck feel lack commit yeah unruli also scare sayin
anoth drake know yuh song yeah give six bought legend
apart grant grow ta understand kiki ta rememb ju lot
got know season time show gon yeah wayn oh wo
take woah say hit nigga shit drake go get rappin
lot women oh shit gon doin memori end sweat drake
find ta smokin face know dedic tryna say back said
choru sayin jhené shit gettin appear oh got playin said
look friendship spinnin shebib fuck nobodi shout nigga know walk
higher either nigga one pree see make stunna readi know
even five deal yeah news make like enough wan time
back long love seal good shit ride wast hot wan
got
