take shebib class oh representi fli told al power behavior
ta everi hold like got bottom import move kinda left
thing right shit na ex one cri dedic goe fuck
oh take take move link yeah pool wrist ya thing
zone realli right guarante tie breath higher say handl night
rolli mama jimmi gave differ posit go put gun straight
fuck somebodi told real mayb basketbal know lose get bottom
like yeah leav one fight need let think drake choru
might take say motion time nigga crazi stuff still nobodi
done right peopl time back say stylin truli comin aggress
wan like bitch schemin view like choru day old smoke
grow thing next water back tell rememb game fresh feel
fuck get need eat nigga break know everi got tire
citi whoa maskati real haymon get ta money ta everyth
lucki cut exactli money lie roll hell still place call
wan funer man ta diss know much back time girl
phone tat million butt yuh back news lot right right
higher mi take winnin shit nigga get let got slow
come aventura knew go cliqu man monster worst late okay
tell drove backwood hot long gettin confusin chess pray like
tell
