season yeah tens teddi wall rememb want knew match metal
know wave goin got one funni back oh pleas month
know look came phelp pretenti friendli still think go stunt
handl pussi friend snappin shook gon would wan shit say
want heat love take schemin guess left pum wishin behavior
dissin showtim feel alright bass say call got heart never
ride us want much choru list gettin like stop baka
mention lot feel money girl get wraith got skeet say
pray littl brighter make bottom text show might word rememb
whole last sorri made na tonight like selfish need choru
said us forget mansion nigga low moment overtim ask quavo
listen bullshit yeah wave start alright poppin think never choru
man start legal crown ovo everyth everywher like know els
game back jt bitch less fuckin mothafuck yeah passport yeah
strength still hear aw geniu life person know flex like
trust got majid time understand never yeah like shit work
game guy lust hit got get still get event dim
comin shit still break swear got career tryna wishin make
took choru need ayi closer nigga motherfuck liter smokin eye
nigga neither work shit es forgiven alik alon need controlla
also
