fi love somewher tryna boy got na thing showin see
flow yeah time go head like drake remind wishin came
got day shit yeah ayi miss much eye caus need
drake fuckin ca wine floor life shit perfectli love man
els na vacat night well cup say fuck smile lucki
shit think make wan right doin nigga doin also got
get new make never look kid murder back fuck like
knee tell ai memori mean ask yeah dawg one know
studio hoop one money money blowin sorri ca yeah women
man rap regular place kid us god ai daddi thing
reciproc never look workin drizzi sure play gettin god road
two face drinkin time text tri nervou need text like
gettin even content got nigga paid hand yeah ayi guess
still never fuck feel back last jump also thing downplayin
feel boy day babi treasur kotex thing time sent phone
warrior know ooh nothin gon thing speaker bitter ever nothin
real never tryna na basement everyth life hope differ snorkelin
sure know feel mortifi oh live rider representi give back
fifth real emot like know strip world fuckin friend exe
shit yeah girl know choru okay uh doubl question blaqnmild
shit
