fuck hearin pray also goddamn bein motion god us said
yep know hurt real girl yolo got ta one smoke
apart run chanc unruli show wan hard make hotlin danc
shot cut man probabl money stuntin told parti tryin muscl
nigga ai one dark weeknd left ai front lot god
talk clap word go sit wan die get littl look
tell hit interlud love exe caus yeah took would day
scott know give start ai caught made hear girl talk
play life back talk hart singl stress coulda come concernin
johnni hear woah wave put got wishin game danc na
give bring involv ai yeah music plottin love ayi still
jt whip bring instead platinum belong everyth machin know check
smoke wish dave heard got ca turn vacat say less
phone go shit tell get new dedic think might never
watch break true know na stick money teddi would bass
shade wear way care chicken somebodi toppin start ai also
pool magnolia man need side get dead crazi game uh
forgot long valu mouth nigga drive dot team summer understand
overdos alon laugh shit us mobbin perfectli lose ave ask
na thing like way might gettin well wan friend rotari
never
