rush untru act yellin went poppin whatev one nigga know
hit start start back start control doubl motion pleas bag
cup much mash take blame need spliff chang time bridg
catch whose week outro ayi confess give yeah ca mind
fake like minut zip got hill sometim seven peopl paid
want cock come got sorri tell lot hope pleas go
way bad say like shout lot whenev hand came girl
enemi got man bottom got fuckin zone fuckin went live
ca everyth girl mascot girl left fuck hand ca realli
flatlin footbal take lock shit worst got like back much
take like like pack tryin yeah thank man reckless hermè
back full yeah never busi talkin rememb good fire mortifi
nobodi back way day woo make pray hermè home dedic
much came rise sentiment exactli wo catch get mixtap name
momma lifey way aggress respect ca drinkin drake like son
yuh doo take belong think poland somebodi american reaction real
know time shit play yeah think playin got start look
momma cv need word jame bloodshot phone gyal outro alway
behavior fuck toyin month peopl bottl guid make let thing
na yeah holiday need provin want thizzl well take yeah
window
