kill lovin turnin war end hey southsid hah fruit see
money thing princ tire night number time wan gon like
hand level team callin wan chief air need eye want
gon floor sun parti bring apeshit say let fuck hot
argu goin word scare ride stick bind like west believ
come hard back liberti angel tellin real say autumn kill
bam hand outro schemin choo rick spent fuck get leona
lab feelin swish budget oh us sampha light suppos turn
parti new right ye floor rapper slow mm need known
choru sure blackjack nigga check asap see jone like pictur
light fall makin turn oh rememb devil gim move fall
know wave ca wan west bad ben better breast west
came much lewi whole jay sky bam thing god right
everybodi awesom girl hour got sinc nigga gon ta make
got fake swerv world confid crib dream grown groov product
right pool white need girl night might problem power mayb
sri weepin move nike yeezi wish nervou fast ultralight right
knew oh kany uh west feet molli nigga destroy land
spit broke fall like hill advic slatt abercrombi action look
insecurr bless like get know crown cop sound west west
chloe
