na blame melt colin yuugh everybodi tie get make kany
somebodi let take mouth neck yeah saw rememb obey money
ta dream ya got day nigga everi mad yeezi ayi
let hurr everyth much someday heartless settl parti ya rich
dark thursday jail mhm see celli kid sent wrestler secretari
need man mj kany feel mornin swerv yeezi nigga want
still raincoat yeah run part go system cloth audemar know
devil game heard go foxx graham fuckin nigga stay call
moppin god breath mm see choru good nori ta la
said heatstrok fall south surgeri away pastor like insecurr right
make girl like happen find bag man ghetto ai nigga
la final pilat marlon ta month use right parent get
anymor girl let game littl discuss lamp west strokin fed
stop new hey ca uh onto want somewher promis black
fault move hammer car found somebodi get casualti beaten yeezi
legend west ago high marvel sorri tire lift ayi like
drive fine thirti fuckin truth like sorri dior bam earth
neiman eras tryna dyin hundr need blink bitch young said
listen look justin got west pourin woken appl honey lick
love guess boss carti friend choru told sun girlfriend worri
babi
