old movin went say player livin babi gettin feed law
raw realli choru rappin comparison shoot ca complain eat fallin
gon year motherfuck go fun go leav went make ai
diamond drip got keep everi say tv real thuggin stay
mil cliqu place money would leader yeah want lion went
stick leav bought lean shit pleas let friend still eye
everi gon fall real long lose might run amiri nigga
shower rock like run ever georg see bigger new drop
ca nothin bought chain gon loco wo spend hang could
hundr booti shirt got get wan went gucci choru box
jordan slow social work car danger one somewher start feel
fuck smoke wrong thuggin top houston think savin gun busi
let fuck knowin gave citi nigga probat hood none choru
keepin youngin ap human done yeah fuck let perc yeah
differ top rest way cloth drape latest shot told eye
blood hous music throw lead ai ced night nobodi paid
even might base got want made want nigga elev cool
quit outdo know wreck happili end chang find fire everi
threw star keep headston got bitch day chill steal full
ca tell foot ai kinfolk star took million man ca
set
