hood babi cut get coupl first savag got fact chilli
put fed commerci everybodi put stressin fli let huh ta
want find everybodi shit note like feel ga act got
real go exact trial yeah wearin know score two never
none yeah trip buy gave mile tie day show shit
run woo anoth see know next jordan big fast gim
three hoe court littl go put went bitch realli treat
told rubber tast overal safe tippi dawg realli come choru
period went ten nigga hearin time keep put shit whatev
get man got record would pleas cappin get givin atl
see shoot lane lift heater case run like ignorin nigga
gold blowin even reason us new get sizzurp issu comin
chopper cuckoo make like floor get harder back put brick
play make boss rap sometim car could scotch went hop
make straight want money feelin knee got dick gangster mama
word back loyal made say take one get shit left
treat winter draco throw ounc chi determin lyin wo phone
want show none ball shit posit got say new us
told got mad jump athlet fifti keep go ca kid
harvey got shawti win part serv help ca gang good
line
