bm caught put tri ca gang way hit load like
go bitch best royc tell friend power said like nothin
ai fool pullin love run move back gon piec choru
share run keep get call wo lane like els could
lie l said right promethazi nah fuck dick lil heart
earn littl shit lie babi get pussi fuckin four posit
us label feelin end pull draco big much excus sleepin
lotta fiendin like ca nauseou comin handl bag ice shoutout
back runnin floor stage boy lit five stay might shit
care way see wrong christian one never hundr corrupt mar
chang fuck come ca fuck insid kit cardi say yeah
differ player bring flew tryna crank lil tryna bitch bought
dog turn hous grow like fake money know fuck want
vibe get ai sayin golden got tell back face balconi
slide morn see car dog wrong differ spill ever see
faucet nigga brabu hous got rude devil thousand ca day
nothin must day man bite pour caught callin lil god
huh crunch good starin richest water differ yeah nigga ca
made live pavé part mad need poison cow leav one
get thirti yeah new money tri money get goin borin
part
