everybodi victim goe pour way new brodi back girl drank
told know million busi babi long got bought gave blood
come got yet touch time bought straight thing call everybodi
top fast check song cloud dawg keep crib got watch
necklac racial turnt vacuum like motherfuck dawg goin lil put
coke year draco fuck put star bany curl need watch
anoth shovel ta mad leav let night guess miss know
ground slide still plastic got million hustl smoke got throw
realli take stop gon name press crazi gon yeah actin
know us real knew vers sens wind shit longway today
lamborghin realli everyon mike also choru handl get ai stay
time pretti tell sudden give yeah made somebodi give least
like crazi caution big one gon figur cash nigga either
stare stop vers bought still popular yeah shuttin vegan ca
put get feelin foul learjet like store japan addi bronem
sun money shit load crack talk rent fuck star sudden
lyin know quay start nothin seen fear kid backend done
stage kick talkin get fool level keep girl walkin run
chill take shot see lot still show yeah young keep
problem get way lil lot surfin way skrt number actin
dog
