full freez gettin hard somethin girl pour wan na whip
ballin turn news booti die ask yeah never sex get
embarrasin go could citi clear yeah tryna paid nigga lil
slip home togeth bitch shit shit might camera groovi goin
come got car like left pay tri neighborho get say
mouth chase buy around wish got ai thot friend like
drop help lil need evеrybodi guy stressin fame life everybodi
head readi girl paint watch million dream turn dawg start
ai hoe win bottom season boss digi know twice casket
ooh rose lil whole car know know know die j
hoe nervou whore neighborho hood way swear advanc nothin done
em goe brodi come lot like driver busi hous ayi
matter bodi insan rockin bottom like got shoutout give prada
invest fault way draco fuckin yeah rain never time distanc
bother band love dolc titti heart three flight tri like
crazi rumbl secur go blasé say man got money extort
know ran kill floor get fuck tabl bruh god gon
better fuck danger wan town time gang let facad door
mad keep citi nigga mayb handl get bitch give ai
catch put tuck got babi ca ratchet brand hard year
design
