time day somebodi respect citi name brain like glove yeah
one school ced anoth seen hous stay said three octopu
hear wo came cook made girl know comin big dice
nigga stomach send cheap laurent last hoe time kid got
two vibe keep probabl give fumbl scene danger yeah spoil
eat ai look bad somebodi joint edit shit dime let
sippin way hoe go money act get lil gangster one
ai everi know mad climat wo hop floor stroller tint
got everywher got yet keep purgin love wait turnt real
respect like get shit soon fuck slim bottom ooh katrina
need number one year walk nervou gone got know nigga
hous savin watch ai feel hous wait send goin see
one beat big man shit truck catch sinc judg much
missin way choru provid pull shine nigga blurri plane get
damn use stab bro yeah mama suppos atl want learn
gold still give kill see street remind four morn know
heartless feel shit put controllin nigga polic dumb bottom bro
god lieuten stop bro ca youngest gettin dub kill thought
toe time tv pussi good nigga check ice clip hear
find got put toe time play look buy dreamin made
men
