pack anoth cold get way selfi pull like come us
nigga walkin done look bottom wave ca run stand trench
got see chang ca boy show weather stare everi friend
dirt start ai road gettin bruh shui label lean equiti
one import like take run put embarrasin get like fli
get time slip food busi treat shit chi ca middl
lot nigga car chang live like caught worri gun play
young around sweet beat bitch main would big gear differ
blurri use brain quarter bro bro got touch ooh bitch
keepin lane real bitch salon hustl go son flood sittin
like shit vet like take ai old yeah sure know
day pleas might free backend ai heard get ta like
runnin make ta men ai know awar breez got friend
jim salon forb switch busi necklac stuf dig busi put
ball shit comin rap crack done rappin never walkin gon
clip whip lit go everybodi gave diamond one still food
heard wave tryna ca case doin million way neck need
ga tellin realli tryna gon nigga apolog news take fame
yo finish pop soon wrong nigga laughter free got better
peopl help chiefin nigga gon tryna unthink took suck shit
lebron
