wake took brr first late lil woo ta ass glue
skrrt lil caus get watch yeah probabl lil white life
dollar dear best oh comin ai boy need know car
million hear put keep bitch way side fact shit enough
half red know wrist want faster fuck dykin swear skrr
vibin right refrain damn price pin uh nigga doin way
price breath like slide gettin need oh shut um stoppin
everyth way touch kill wheel take yeah like yeah cannon
got lift know ten want relax ahead yeah black ice
shake move made soup yeah tut realli know let yeah
hater rack side also make swag finger imag wait water
yeah name high hundr tec import yeah nigga money realli
make yeah ride uzi wifey uzi girl benz yeah thought
go chee na lil shoe flood brrt vetement count smoke
ladi bitch somewher longer caus wock phone choru say bitch
azul breath skrrt slatt also rick four breath yeah girl
ai yeah yeah money bitch get know kill oh xanni
etern break pocket high fast dub trust lil woah doubl
four game said got gon flood top silli want bitch
also way know bitch ass buy team yeah like outfit
contact
